,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
exchange_effect[TSXV],0.1893,0.1876,-0.1017,0.4918,4657.8409,3152.5984,1.0012,0.0027,0.002
unit_effect[HKD],0.0409,0.1775,-0.2403,0.3283,5102.4421,3069.6686,1.0012,0.0025,0.0018
exchange_effect[TSX],-0.1873,0.1565,-0.4342,0.0614,5945.0483,3170.312,1.0011,0.002,0.0014
exchange_effect[NasdaqGM],-0.0181,0.1058,-0.1851,0.1511,2722.8824,2929.3274,1.0011,0.002,0.0014
size_loading,0.0011,0.0011,0.0001,0.0031,2917.7562,1655.603,1.0011,0.0,0.0
trading_region_effect[Europe],-0.1008,0.092,-0.2439,0.0473,3294.7348,2599.9093,1.0011,0.0016,0.0012
beta[feat_one_day_return],-0.0927,0.0061,-0.1024,-0.083,4338.6616,2668.5831,1.0011,0.0001,0.0001
style_class_effect[Value],0.0005,0.0091,-0.0143,0.0148,4841.6401,3136.2232,1.0011,0.0001,0.0001
exchange_effect[CNSX],0.1455,0.2276,-0.2191,0.5071,4096.6404,2703.2743,1.0011,0.0035,0.0024
exchange_effect[NZSE],-0.0137,0.188,-0.3161,0.2849,5731.183,2908.0964,1.0011,0.0025,0.0017
exchange_effect[CPSE],0.0066,0.1817,-0.2816,0.3011,6875.3015,3193.6065,1.0011,0.0022,0.0015
unit_effect[KRW],0.1539,0.1491,-0.0854,0.3916,5305.1133,3046.3815,1.0011,0.002,0.0015
exchange_effect[BUL],-0.2072,0.226,-0.5669,0.1547,4346.1512,2053.2686,1.001,0.0034,0.0025
unit_effect[SAR],-0.0162,0.1852,-0.3082,0.2778,7188.2114,3096.8286,1.001,0.0022,0.0015
unit_effect[TWD],-0.0472,0.1508,-0.2933,0.1936,6400.5368,3321.5072,1.001,0.0019,0.0013
exchange_effect[MUN],0.1109,0.2469,-0.2816,0.5077,4450.2477,2306.1599,1.001,0.0037,0.0026
exchange_effect[KOSDAQ],0.0672,0.1497,-0.1691,0.3019,4877.6975,3160.8715,1.001,0.0021,0.0015
exchange_effect[BSE],-0.0385,0.1468,-0.2777,0.194,3538.8069,2831.0443,1.0009,0.0025,0.0018
trading_region_effect[United States and Canada],0.0821,0.1135,-0.0995,0.2643,2659.3895,2398.229,1.0009,0.0022,0.0015
beta[feat_pt_low_drift],0.0178,0.0139,-0.005,0.0396,4096.4866,2974.3977,1.0009,0.0002,0.0002
unit_effect[JPY],0.0084,0.1842,-0.2869,0.2981,4127.1805,2650.2254,1.0009,0.0029,0.002
exchange_effect[BVC],0.0168,0.2046,-0.3126,0.3375,4137.1766,3011.0142,1.0008,0.0032,0.0023
exchange_effect[SASE],-0.0127,0.1855,-0.3094,0.284,7415.5068,3238.367,1.0008,0.0022,0.0015
size_class_effect[Small Cap],0.0659,0.0075,0.0539,0.0778,4680.8156,3117.6132,1.0008,0.0001,0.0001
style_class_effect[Core],0.0145,0.0068,0.0035,0.0254,4851.6901,3010.4423,1.0008,0.0001,0.0001
