,isin,ticker,name,trading_region,region,country,unit,exchange,sector,industry,size_class,style_class,market_cap,enterprise_value,last_price,observed_pt,expected_pt,expected_pt_hdi_lo,expected_pt_hdi_hi,expected_upside,risk_adj_return,prob_pos,implied_upside,total_return_ytd,total_return_5y,total_return_10y,tr_cagr_3y,n_analysts,er_mean,er_sd,er_p05,er_p50,er_p95,mc_prob_pos
6329,ES0125220311,ANA,Acciona S.A.,Europe,Europe,ES,EUR,BME,Utilities,Electric Utilities,Mid Cap,Core,15344.46,25887.95,247.6,208.0917,216.83812861868142,209.33903268575264,224.3499299646245,-0.12424019136235154,-1.525192121086876,0.0,-0.15956502423263327,0.3556,1.1304,3.7891,0.237,12.0,-0.11847685158581488,0.11125195532037069,-0.287652146260675,-0.12528804759287016,0.06899936225593525,0.1335
6330,US35909R1086,ULCC,Frontier Group Holdings Inc.,United States and Canada,United States and Canada,US,USD,NasdaqGS,Industrials,Passenger Airlines,Small Cap,Growth,1335.08,5811.08,5.81,6.6667,5.08642560571569,4.956692697364705,5.219045197401437,-0.12453948266510947,-1.5262554619249191,0.0,0.1474526678141136,0.2335,-0.6127,,-0.1609,9.0,-0.11213998940973337,0.15320731707812174,-0.32742900271464537,-0.12452476631973874,0.13887032229236712,0.1899375
6334,US7244791007,PBI,Pitney Bowes Inc.,United States and Canada,United States and Canada,US,USD,NYSE,Industrials,Commercial Services and Supplies,Small Cap,Value,2421.69,4375.9,17.88,17.14,15.617287479986912,15.157829795658541,16.085494185519103,-0.12654991722668305,-1.5358161164749318,0.0,-0.04138702460850112,0.7057,1.5888,0.5105,0.7279,5.0,-0.11208657220318166,0.16988395643956467,-0.3561022798834959,-0.12752885120574456,0.18832167485430037,0.218875
6337,DE000A13SX22,HLE,HELLA GmbH & Co. KGaA,Europe,Europe,DE,EUR,XTRA,Consumer Discretionary,Automobile Components,Mid Cap,Core,9007.64,8682.09,71.3,65.0,62.18641840213406,60.42130964734369,63.953391504821305,-0.12782021876389843,-1.541730676365325,0.0,-0.08835904628330996,-0.1342,0.3295,1.8326,-0.0003,2.0,-0.09347183003659688,0.2719348199060045,-0.45105250278114073,-0.13071292597581763,0.3891289927701145,0.3
6338,JP3236330001,285A,Kioxia Holdings Corporation,Asia / Pacific,Asia / Pacific,JP,JPY,TSE,Information Technology,Semiconductors and Semiconductor Equipment,Large Cap,Core,187328.37,192060.91,56010.0,116768.75,48800.62185484593,44265.55695347766,53694.64770098297,-0.12871591046516814,-1.5508509590755353,0.00475,1.0847839671487234,4.3675,,,,16.0,-0.11443653100577145,0.1482810018109669,-0.33564651057741085,-0.12530076308818747,0.13964131457153345,0.1956875
6348,US12662P1084,CVI,CVR Energy Inc.,United States and Canada,United States and Canada,US,USD,NYSE,Energy,Oil Gas and Consumable Fuels,Small Cap,Value,3362.75,4848.75,33.45,29.4,28.881994153102386,27.970405258455212,29.842968424695908,-0.13656220768004743,-1.5831674498065005,0.0,-0.1210762331838565,0.3188,2.5796,5.9452,0.0392,5.0,-0.1216333035221902,0.1726511316306978,-0.3726011196647452,-0.1372084960489302,0.18523039927869606,0.206625
6350,TW0008454000,8454,momo.com Inc.,Asia / Pacific,Asia / Pacific,TW,TWD,TWSE,Consumer Discretionary,Broadline Retail,Small Cap,Value,1952.68,1915.18,238.5,185.5,205.39490724250788,198.82055908879923,212.3775075665382,-0.1388054203668419,-1.593873302311818,0.0,-0.2222222222222222,0.1755,-0.7338,1.7525,-0.1985,4.0,-0.1199357004797491,0.22824655744212868,-0.3994322570536518,-0.14123332871989241,0.22543553256317966,0.2286875
6352,US05988J1034,BAND,Bandwidth Inc.,United States and Canada,United States and Canada,US,USD,NasdaqGS,Communication Services,Diversified Telecommunication Services,Small Cap,Value,1914.63,2287.58,59.8,67.25,51.261177618311706,49.55984061600338,52.956406123752025,-0.1427896719345852,-1.6128772724770652,0.0,0.1245819397993311,2.8706,-0.5523,,0.6176,4.0,-0.11649382101415216,0.231283834804209,-0.43734982255078386,-0.14415802967619576,0.3016188549512761,0.2526875
6356,MYL5005OO003,UNISEM,Unisem (M) Berhad,Asia / Pacific,Asia / Pacific,MY,MYR,KLSE,Information Technology,Semiconductors and Semiconductor Equipment,Small Cap,Core,1849.26,1908.83,4.69,3.7278,3.9954960198125726,3.8657021227271553,4.122471671842759,-0.14808187210819532,-1.6382419028483408,0.0,-0.20515991471215353,0.5332,0.2911,3.6267,0.1405,9.0,-0.13788893087804258,0.13741472197753868,-0.3409645852852831,-0.1477703833721172,0.10368836338812758,0.14275
6357,US09180C1062,BJRI,BJ's Restaurants Inc.,United States and Canada,United States and Canada,US,USD,NasdaqGS,Consumer Discretionary,Hotels Restaurants and Leisure,Small Cap,Core,1405.19,1845.17,66.86,55.125,56.92365037438295,55.593522077975365,58.25395004154546,-0.14861426302149489,-1.640507924861254,0.0,-0.17551600358959019,0.697,0.5089,0.5426,0.2555,8.0,-0.13559334195320036,0.1375367753471775,-0.34127877606580387,-0.1451700490799162,0.10367653547602584,0.1466875
