isin,er_mean,er_sd,er_p05,er_p50,er_p95,prob_pos
CA2499061083,0.5261854798666923,0.6078485736893676,-0.23445141795868893,0.4298743841918037,1.6239414883225405,0.836375
FR0010722819,0.05654113443439906,0.4338711362358585,-0.4768735392389741,-0.017982470213094928,0.8463086970402997,0.47925
US69608A1088,0.3876326338091786,0.13778664116427142,0.1748474454894161,0.38093298999815717,0.6239134868760847,0.9979375
IT0005531261,0.31315943545494623,0.43262994314026737,-0.2511606349292102,0.24947157671338,1.0754971960763502,0.7825
US1468691027,0.4123429947236703,0.14145066637394402,0.19636042639660253,0.4038025838202295,0.656608226411342,0.999125
IT0005521247,0.22956561635450456,0.3640182211784358,-0.256394093074631,0.1793991000815039,0.8687707233118752,0.7335
US64110L1061,0.5131290381215898,0.1069084634236027,0.3428632791353522,0.509240915985508,0.6927287024638555,1.0
US0017441017,-0.04667817245290144,0.16269519489404874,-0.2849140271758921,-0.05917253709530912,0.2345516566986108,0.346
US75513E1010,0.05546935746378388,0.09413021469173047,-0.09058503173260599,0.05208927250655431,0.212777476169689,0.7285
AU0000424897,0.5786866318694792,0.6457155758618851,-0.21096512001674958,0.4639964520121049,1.7591611396650786,0.8515625
US24703L2025,0.015541706024751464,0.09293517141718795,-0.12985720298411446,0.011629176163797939,0.17320286510360886,0.5588125
US4824801009,0.26385623056563484,0.11159630501360424,0.09095885904861913,0.25875693069416117,0.45195599069332176,0.9933125
GB00B1L5QH97,0.4772241888381296,0.32382160735965654,0.007286945501003546,0.4457696047099406,1.0576972763322412,0.9531875
US17253J1060,0.8058284535764068,0.2566794229547156,0.4182450475332824,0.7879460680487251,1.2484038129447979,0.9996875
US6974351057,-0.028025555929553525,0.06154139485998938,-0.12666662373830137,-0.029771553563973575,0.07631817119550208,0.3006875
US21044C1071,0.46248912117083124,0.23826220368594578,0.11303590498242823,0.44126004230419846,0.884373944275998,0.988625
DE000A289V03,0.5245053122717819,0.6059398920671906,-0.23340098177824276,0.42151922108250695,1.6155566451022887,0.8379375
US01609W1027,0.5507519271734713,0.11496515467336824,0.3705217734001332,0.5466818214796221,0.7473776445870921,1.0
US8825081040,0.1799182632889732,0.09422140197222904,0.031077849371487748,0.17582680208445828,0.3395209590432369,0.9779375
GB00BNNTLN49,0.2295973755913172,0.14403884121833999,0.010151273196330086,0.2197353332048328,0.4792336733767243,0.9565625
GB00B0BRN552,1.224045576903078,0.6999824702644568,0.2992275425633832,1.1226889096953816,2.4836708675860075,0.9925625
IE000S9YS762,0.18685054048908792,0.10172218138817571,0.02935205479298048,0.1815000752778211,0.3639277138421418,0.9738125
US0404132054,0.30460356647250847,0.10378639910747413,0.1403030744295508,0.3006358431182312,0.4830055031011208,0.9985
US0311621009,0.0789352832149287,0.08804151193016668,-0.05946259379977966,0.07648113584727684,0.22896622503290037,0.8283125
DE000A2YNT30,0.3160515794180848,0.2051293490075187,0.014347983688420215,0.300550534922407,0.6715454452890675,0.9579375
BMG93A5A1010,0.1516358559812477,0.11002528831861874,-0.02033154752455697,0.14630613579967292,0.3395422900131069,0.9253125
US4592001014,0.27750065494615184,0.11716312832066932,0.09502286966350428,0.2724454100317478,0.4778888590612701,0.9931875
BE0003874915,0.4181611724180114,0.22962308295864967,0.07468023936151988,0.40238398625100835,0.8229384838737619,0.977875
US72703X1063,0.9677496021985152,0.3507169324116663,0.45815438550263254,0.9351754434648308,1.5858031938821524,0.9991875
US92343V1044,0.09459153745512446,0.09872474522485895,-0.0584347783564319,0.08911859165294454,0.2619029501135895,0.8491875
IE00BKVD2N49,0.37100185825428056,0.13595806143805603,0.1602031492568356,0.36512483804771917,0.6021369926134111,0.9971875
US5801351017,0.2799579890866479,0.09824086676132096,0.12787572394725935,0.2757178181532788,0.4467377141435499,0.9978125
GB00BVV2KN49,0.7394026466363148,0.7582727396178244,-0.07184147233161339,0.6305010998797563,1.9101423625136829,0.927
PLCLNPH00015,0.11044511333861415,0.22409871099094544,-0.21450732357517616,0.08947662155966901,0.5083874916267751,0.678875
US0320951017,0.285296527830883,0.12763927220892965,0.09257234820491414,0.27801895238719465,0.5012462591044222,0.9920625
US65339F1012,0.1585633478465752,0.11355318367213944,-0.016414261251170244,0.1536990988719894,0.34981865547344887,0.9310625
DE000A161408,0.5117909433796034,0.27491244635429524,0.11231713530807445,0.48474774557246986,0.997006799276162,0.9845625
RO7066ZEA1R9,-0.1600395588604449,0.26691289047556505,-0.5067632377701603,-0.1977659694933664,0.3155700220186378,0.215625
US22788C1053,0.0035071839091020043,0.06589039344455473,-0.10047340740515073,0.001729745909851351,0.11424123657052745,0.51
IE0001827041,0.38931317746860666,0.12874850767966206,0.18871802547260158,0.3839011493213401,0.6090409464124221,0.9990625
US45257U1088,0.5312173805666568,0.18735192526292557,0.24601340638013225,0.5189698880495364,0.855331627327684,0.999
US7134481081,0.15756535074891911,0.10456475123620812,-0.003299281751082199,0.15310295123430664,0.333570610626415,0.9466875
DE0005313506,0.8820899167487412,0.6066243979344672,0.08459069916265814,0.7983835304643976,1.971777336472736,0.9685
GB00BG12Y042,0.17749589392320514,0.22476995302019093,-0.1547406885682227,0.15953604480904163,0.5675024391825234,0.7940625
US9078181081,0.07765781616663212,0.09152003629236227,-0.06732327528269397,0.0735215101486423,0.23095993914899926,0.81475
DE0005759807,0.4109149260490832,0.34724946175017135,-0.06264076947607815,0.3687534675395254,1.0270414807351738,0.9159375
FR0004065605,0.3606377233022993,0.1883996849918381,0.07364245481922047,0.3493284894928087,0.6868735473918618,0.98075
US0326541051,0.32741100408156093,0.10126016405302503,0.16999343174283948,0.3239055351686209,0.49832135141119416,0.99925
US0028241000,0.2297395512327765,0.1042688049422352,0.0677189761078016,0.22427516905357825,0.40612438856112165,0.990625
SE0029278985,1.3457347855829458,0.6566396329739913,0.45454860787378587,1.2546306152319378,2.5577020286362218,0.9969375
US9581021055,0.49985449139903726,0.15016692222054315,0.2655088259873756,0.49233470305624605,0.7541463352880539,0.999875
GB00BV9FP302,0.1275329879089473,0.15441410912927248,-0.08874906254873394,0.1166519731915143,0.3749586345615324,0.8255
US44812J1043,0.4533513377175327,0.1902548588102087,0.16460583755562536,0.44201175107337515,0.778656143835951,0.9955
US7475251036,0.16909626105958148,0.10491027522381306,0.00689266698584137,0.16506389010179245,0.3451372246414339,0.9569375
GB00BG1THS43,0.7633414752796259,0.4575358426179193,0.1348899925222905,0.7068467419546057,1.578778354083766,0.9825625
FR0013227113,0.3237341055812676,0.17126475759315873,0.06720302953187508,0.3132509012532655,0.6229131851436512,0.9814375
US8725401090,0.2596685904700116,0.12114916267475233,0.07192968897379665,0.25444281563598836,0.4663736527507944,0.988375
FR0013269123,0.23617207396863032,0.18971754425603435,-0.04834024137632621,0.22085223500711945,0.5692155242015905,0.9130625
CA36270K1021,0.4953611387192119,0.1957909564578068,0.1997881815414735,0.4823351744374341,0.8360359838815941,0.998125
US5738741041,0.3749585486440419,0.1080701491320332,0.20662913127784613,0.3703553413573921,0.5614736186604292,0.9996875
GB00B1CKQ739,0.28133638648771214,0.1573506118848376,0.04540955961690291,0.2710525834738876,0.5549929315798778,0.9749375
US67079K1007,0.7523585291947098,0.2925758834799858,0.3193444880401931,0.7287117194743662,1.2605337499169045,0.99875
US0970231058,0.3255146279850516,0.10853837522637738,0.15644761405491572,0.3209456893033236,0.5112571463945865,0.999125
US00108J1097,0.3299344821093033,0.2740521869228227,-0.0614739514667456,0.3011760172968485,0.8153225167664429,0.9134375
US2546871060,0.42530926156095283,0.11281669659278881,0.24899045385004515,0.4206753170908283,0.6180310600456271,1.0
CA03772D1015,1.6077023011106522,0.2947101361444127,1.1583371910354257,1.589571126942358,2.1220358256631204,1.0
US3755581036,0.28436350855257864,0.10560571624605164,0.11818122577911586,0.2806981950171674,0.4615728158944203,0.9965
GRS204003008,0.29381928326273504,0.2236329457390286,-0.03939008373243253,0.2752477430230081,0.6876472284712739,0.9278125
US3429091081,0.573334457286921,0.2246770796986788,0.24234707362385596,0.5555217509349949,0.9576327181700933,0.9978125
IE00B8KQN827,0.24496094460207252,0.1257914977404821,0.07626210525817323,0.23985118088349122,0.42696405284093997,0.9918125
IT0005274094,0.29648957305049534,0.2933506140340067,-0.12461455703832212,0.26484921713296716,0.8156066295672537,0.86725
GB00BZC0LC10,0.5913651701077073,0.43873112095150313,-0.005435124177116359,0.5328824607997824,1.3780876830018247,0.9475625
US84265V1052,-0.022182834452317394,0.10615723981619654,-0.18560870657567366,-0.0285380022011017,0.15933618898116203,0.3865625
US72352L1061,0.31184032485657,0.10206205960110412,0.15306341631689743,0.3084608725629022,0.4843005199787296,0.9980625
US20825C1045,0.19446290668184793,0.10181608495044056,0.03612128857252649,0.18966568273876927,0.36705755582082517,0.978
US09857L1089,0.31310201845309255,0.09495437048918957,0.16576223238462653,0.3102537238502866,0.4712529235390852,0.99925
US1266501006,0.0628141463225695,0.0891085553204651,-0.077773210468093,0.05938082191968824,0.21510944372045848,0.7670625
GB0002318888,0.2471352206224615,0.15615181274401896,0.010719963633567616,0.2379509893763106,0.5172374565302499,0.95775
US26152H3012,0.6602418230603789,0.6674084333855634,-0.14533943093214235,0.5469774765164042,1.857501556820462,0.8906875
US5398301094,0.0212018032212945,0.09749521532648965,-0.12698517103634363,0.015378602237579874,0.19077726810146134,0.568875
