isin,ticker,name,trading_region,region,country,unit,exchange,sector,industry,size_class,style_class,market_cap,enterprise_value,last_price,observed_pt,expected_pt,expected_pt_hdi_lo,expected_pt_hdi_hi,expected_upside,risk_adj_return,prob_pos,implied_upside,total_return_ytd,total_return_5y,total_return_10y,tr_cagr_3y,n_analysts,er_mean,er_sd,er_p05,er_p50,er_p95,mc_prob_pos,p_upside_pos,band_width,kalman_gain,p_upside_pos_cond,cvar05,exp_vol,ret_vol_ratio,expected_sharpe,tail_risk,starr,book_weight,weight
CA87261Y1060,TMC,TMC the metals company Inc.,United States and Canada,United States and Canada,CA,USD,NasdaqGS,Materials,Metals and Mining,Small Cap,Core,1589.92,1470.24,3.67,10.8333,7.4780734094332475,7.290159803032627,7.673883034234853,1.0376221824068825,1.9372375052070616,1.0,1.9518528610354222,-0.4052,-0.6319,,0.3851,6.0,1.096100350174513,0.44787312668980556,0.465177871663015,1.0457680108444465,1.896117450932164,0.99925,1.0,0.05131311371163818,0.8739206463710157,0.8732652058862375,0.9810521498146977,0.027679698923990928,37.48675826482854,2.4473456540598963,0.05657003259218485,18.34225887559821,0.0,0.020531789450370923
KYG9894K1085,881,Zhongsheng Group Holdings Limited,Asia / Pacific,Asia / Pacific,CN,HKD,SEHK,Consumer Discretionary,Specialty Retail,Small Cap,Value,1276.74,3957.1,4.23,12.0588,8.354173708163174,8.146025177368761,8.564870008911345,0.9749819641047699,1.8092430703700475,1.0,1.8507801418439715,-0.636,-0.931,0.1241,-0.4349,11.0,1.018358390372388,0.42219324103044514,0.40913722003356523,0.9807732678404045,1.7739551340384612,0.9976875,1.0,0.050135997427646885,0.8591426769975091,0.8571559095569523,0.9213896189529669,0.0261223037316197,37.32373584358123,2.412067014353156,0.053592345151803,18.19256017520944,0.0,0.02036422109261182
US07373V1052,BEAM,Beam Therapeutics Inc.,United States and Canada,United States and Canada,US,USD,NasdaqGS,Health Care,Biotechnology,Small Cap,Core,2498.37,1537.54,25.1,52.3077,44.750939135822705,43.77523491033214,45.78929485256794,0.7829059416662405,1.389837396640399,1.0,1.0839721115537848,-0.0945,-0.7282,,-0.0733,13.0,0.8179258900485155,0.32437597079666847,0.34092601667153394,0.7913573026111553,1.3883185624008068,0.9984375,1.0,0.04500598157555911,0.8004515826756882,0.7992008770777573,0.7397000649433734,0.021267241049683947,36.81276475106654,2.521536623195876,0.04320587672286713,18.120357716335377,0.0,0.02028339976665324
US52490G1022,LEGN,Legend Biotech Corporation,United States and Canada,United States and Canada,US,USD,NasdaqGS,Health Care,Biotechnology,Small Cap,Core,4298.23,3852.93,22.22,54.2333,40.845422178994404,39.905577572368784,41.797436301941566,0.8382278208368398,1.5150907024973204,1.0,1.4407425742574258,0.0221,-0.535,,-0.3272,15.0,0.8604548946535576,0.3432096834905905,0.35671442410544246,0.8302389176340017,1.4643018573581523,0.9985,1.0,0.046317521735537576,0.8196911661553248,0.8184616294060918,0.791632397833511,0.022909599025192396,36.588498118849124,2.507082218375543,0.04659542300332875,17.989488383375278,0.0,0.020136908453447434
KYG7611S1075,2498,Robosense Technology Co. Ltd,Asia / Pacific,Asia / Pacific,CN,HKD,SEHK,Information Technology,Electronic Equipment Instruments and Components,Small Cap,Core,1328.31,968.55,22.06,44.4124,46.0776444995569,44.85693039389274,47.30006861269236,1.0887418177496324,2.0387919405222323,1.0,1.013254759746147,-0.3973,,,,20.0,1.1026560394077023,0.22807372945961685,0.7528506022512824,1.08986267279841,1.4901623374459296,1.0,1.0,0.05302220296489141,0.8846780844328206,0.8846780844328206,1.0280252144175952,0.029568584751268216,36.82089714161702,4.834647295943571,0.06071660333203721,17.931533682734127,0.0,0.020072035652376766
US0381692070,APLD,Applied Digital Corporation,United States and Canada,United States and Canada,US,USD,NasdaqGS,Information Technology,IT Services,Small Cap,Growth,7770.07,9853.34,27.19,73.0455,55.099824529202536,53.671872740921536,56.52450823400164,1.0264738701435214,1.914737146110684,1.0,1.686484001471129,0.1089,2.5966,452.1742,0.4571,11.0,1.0645985666422384,0.41158068489154986,0.46906892113369436,1.0235969078239355,1.7922016798416085,0.9989375,1.0,0.05177213389433251,0.8714187765895755,0.8704928941394491,0.9692252868386793,0.027802059007634074,36.9207859699048,2.58660963869759,0.05724858330484217,17.930118282188143,0.0,0.02007045129429987
GB0008481250,MEGP,ME Group International plc,Europe,Europe,GB,GBP,LSE,Consumer Discretionary,Diversified Consumer Services,Small Cap,Value,532.3,535.62,1.062,2.1,1.9627348560147226,1.9174750100169948,2.0080679641275463,0.8481495819347696,1.5371692208046717,1.0,0.9774011299435028,-0.2735,0.8519,0.1692,-0.0703,2.0,0.9471420788009436,0.6301092833863944,0.11762788138522128,0.8549727932488977,2.086500375959046,0.9748125,1.0,0.04615649120049658,0.8229336673121261,0.802206025566702,0.8007662194373956,0.022688863237675667,37.38175743094907,1.5031393819667611,0.04738336249737407,17.899733941038335,0.0,0.020036439949279217
US50077B2079,KTOS,Kratos Defense & Security Solutions Inc.,United States and Canada,United States and Canada,US,USD,NasdaqGS,Industrials,Aerospace and Defense,Mid Cap,Growth,8870.25,7591.35,47.35,109.3333,81.64227036135831,79.90396275729279,83.45103385309066,0.7242295746855008,1.2526607549410114,1.0,1.3090454065469905,-0.3762,0.7642,9.4295,0.4807,21.0,0.735667328563285,0.22586860350764124,0.39847186651817745,0.7196761857553069,1.1285288550722905,0.9995,1.0,0.04344650240736962,0.77765365517295,0.7772648283453636,0.6837641649567167,0.01981219659607839,36.55473390713548,3.257058825966474,0.040465409728784096,17.897497629199524,0.0,0.0200339366870512
US1011371077,BSX,Boston Scientific Corporation,United States and Canada,United States and Canada,US,USD,NYSE,Health Care,Health Care Equipment and Supplies,Large Cap,Core,65771.22,75587.22,44.25,72.4286,76.9150820511124,75.21298007205837,78.61497425346919,0.738193944657907,1.2857206679973696,1.0,0.6368045197740113,-0.5359,0.0029,0.8499,-0.0534,28.0,0.7443494995794276,0.1584998410527639,0.49630266873004636,0.735133530492024,1.016678483814367,1.0,1.0,0.04423052138396063,0.7833112159178504,0.7833112159178504,0.6967585609065953,0.02035197784913554,36.271361443588745,4.6962160632807,0.04143538375131173,17.815545020372543,0.0,0.01994220132769572
US7995661045,SANA,Sana Biotechnology Inc.,United States and Canada,United States and Canada,US,USD,NasdaqGS,Health Care,Biotechnology,Small Cap,Core,953.68,935.17,3.18,8.5714,5.650844075271119,5.522777186517164,5.77924155697905,0.7769949922236228,1.3762158372899091,1.0,1.6954088050314464,-0.2187,-0.8287,,-0.1897,7.0,0.8272782454038787,0.4503950799644949,0.20551142790548693,0.7749625866929122,1.6388352617066695,0.988875,1.0,0.045385143714053285,0.7982651655629631,0.7893844655960751,0.7332468305829013,0.021438278812134674,36.243347660159245,1.8367834867758632,0.043748161640721484,17.760631831907276,0.0,0.01988073310661869
