index,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd,run_id,exported_at,source_sha,source_dirty
alpha_time_free[step0],-0.1396150261495135,0.00779840076714688,-0.1521398095857385,-0.12729313700159778,13136.026694097127,7187.670387773651,0.999658649641861,6.806751027772975e-05,4.7910773427665805e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
alpha_time_free[step1],0.033322520548615044,0.00622526822837393,0.023338457291888704,0.043241051899002535,12545.708091733335,7243.117058166762,1.000198105703703,5.559913692072912e-05,3.8271856637858474e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
alpha_time_free[step2],0.031830187688679026,0.00211789399019819,0.028441452026776778,0.03516813877208433,17579.873847019644,5960.218114131958,1.0014024919306632,1.5964495768236663e-05,1.1403229651067459e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sigma_delta_vol_level,0.36107438417413457,0.007068584831669905,0.3497074387316342,0.3725072956648924,8488.716534089695,6621.545626685637,1.0004646644454682,7.676146480881284e-05,5.4048664981548926e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sigma_delta_log_mcap,-0.039737216347090674,0.007436898339228976,-0.05155667039691957,-0.027840634744094636,2770.2202012286903,4165.104732220638,0.9999866906372078,0.00014128154809893583,0.00010007493380571701,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sigma_delta_range,0.06061737842317248,0.006446761814458228,0.050472151110612186,0.07087281196784742,7830.891739693947,5924.481025837531,1.0000313333111845,7.289997003538693e-05,5.102743304663038e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
trading_region_effect[Africa / Middle East],0.011380981959925016,0.015823168053235345,-0.013612550807881246,0.03671377547330866,10137.509146445067,6643.601050855175,1.0011943369773637,0.00015763810098084322,0.00011201786015046646,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
trading_region_effect[Asia / Pacific],-0.12407448183777253,0.009829560724178964,-0.1398286028737952,-0.1085996626672147,8285.886079958711,6876.849283655782,1.0003893937255455,0.0001079447385844007,7.76234409169634e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
trading_region_effect[Europe],-0.16315857180048293,0.00865663785234481,-0.17684456881457852,-0.1494309895449961,11930.374743798324,6867.186206958511,1.0000094729219426,7.917895627083873e-05,5.579714921389668e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
trading_region_effect[Latin America and Caribbean],0.27407500882381497,0.018485397950293875,0.2448821134198575,0.30382889968195315,8258.14471476326,6625.153035097892,0.9999914660678503,0.00020344587259988378,0.00014764290734919049,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
trading_region_effect[United States and Canada],0.0017770628545155035,0.009546203891113875,-0.013549924885776183,0.01702062159648644,11593.181124918125,6929.975513753302,1.0003619104081063,8.866426249595386e-05,6.148464901985508e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sector_effect[Communication Services],-0.0166594156754781,0.01817555574107027,-0.0457523317255528,0.012583918892040928,18202.136641833727,5282.7822670699525,1.0014203858087585,0.00013483596585038646,9.484771320631274e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sector_effect[Consumer Discretionary],-0.019181262435896955,0.01214860497056136,-0.03860956076413092,-0.0001908711609472234,16511.96918659722,6357.111629532459,1.000316482791656,9.445404820201545e-05,6.467333189384789e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sector_effect[Consumer Staples],-0.02562885062473552,0.014444867182012227,-0.04863822982315245,-0.0023892015156773876,18849.50139875008,6340.402584084059,1.0003883227352357,0.00010453105990363935,7.43380811560414e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sector_effect[Energy],0.105836603937669,0.01827482425947675,0.07699540541947127,0.134978454086148,15472.108942625844,6613.334791720278,0.9998633976578687,0.00014704543836898786,0.00010544609041095202,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
sector_effect[Financials],-0.06268092712843185,0.011527680497240607,-0.08118520821777338,-0.04450869251649031,10244.07003029526,6652.383889833733,1.000087049753123,0.00011388874921284768,7.95915405442407e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
