isin,ticker,name,trading_region,region,country,unit,exchange,sector,industry,size_class,style_class,market_cap,mcap_country_r,enterprise_value,last_price,observed_pt,expected_pt,expected_pt_hdi_lo,expected_pt_hdi_hi,expected_upside,risk_adj_return,prob_pos,implied_upside,total_return_ytd,total_return_5y,total_return_10y,tr_cagr_3y,n_analysts,er_mean,er_sd,er_p05,er_p50,er_p95,mc_prob_pos
AU0000185993,IREN,IREN Limited,United States and Canada,Asia / Pacific,AU,USD,NasdaqGS,Information Technology,Software,Mid Cap,Core,14734.72,0.12,16486.36,41.23,81.7333,111.67862722807973,106.84918553673938,116.62402507775853,1.7086739565384277,3.8921599678277867,1.0,0.9823744845985932,0.0916,,,0.9703,15.0,1.7303888924346598,0.7985358970902168,1.3267769325075662,1.709843478766122,2.1683607074133464,0.99996875
GB00BQH8G337,RZLV,Rezolve AI PLC,United States and Canada,Europe,GB,USD,NasdaqGM,Information Technology,Software,Small Cap,Growth,1088.8,0.43,1134.96,2.73,10.5,7.331046230229366,7.039511657528872,7.625431588398524,1.685364919497933,3.8514781708820967,1.0,2.8461538461538463,0.0623,,,-0.3607,5.0,1.7512249289748014,0.7241759749969874,0.905061175345484,1.6870567599316824,2.7520934456044377,0.99678125
US17253J1060,CIFR,Cipher Digital Inc.,United States and Canada,United States and Canada,US,USD,NasdaqGS,Information Technology,Software,Small Cap,Growth,7130.23,0.19,11910.88,17.18,32.5882,44.87781651002211,42.89087349580365,46.87810820731323,1.6122128352748566,3.7203826237003943,1.0,0.8968684516880093,0.164,0.7232,,0.7253,17.0,1.6267002290008359,0.2787537434744158,1.2589074323023612,1.6131084791642225,2.0280384661162527,0.99996875
KR7298380007,A298380,ABL Bio Inc.,Asia / Pacific,Asia / Pacific,KR,KRW,KOSDAQ,Health Care,Biotechnology,Mid Cap,Core,3444.79,0.05,3352.02,86600.0,257500.0,210229.5917226365,201320.2689996703,219114.590322371,1.427593437905727,3.3733180168082537,1.0,1.9734411085450345,-0.567,3.2978,,0.6377,4.0,1.4714296551852668,1.4897064226210752,0.9300143020075609,1.4291928133668046,2.0623061399963754,0.99928125
US88080T1043,WULF,TeraWulf Inc.,United States and Canada,United States and Canada,US,USD,NasdaqCM,Information Technology,Software,Mid Cap,Core,8522.39,0.17,11140.16,17.08,37.4444,41.04892135843712,39.31190199239898,42.90244299538623,1.403332632227012,3.325656282242234,1.0,1.1922950819672131,0.4865,,,0.9197,18.0,1.4160424183317637,0.26834109296066055,1.08333104721661,1.4039797088987176,1.776937991648742,0.9998125
US0381692070,APLD,Applied Digital Corporation,United States and Canada,United States and Canada,US,USD,NasdaqGS,Information Technology,IT Services,Mid Cap,Growth,8516.73,0.17,14050.76,29.22,74.2273,69.33797105052813,66.67877326362328,72.06933886544017,1.3729627327353926,3.2657275205756613,1.0,1.5402908966461328,0.1917,2.4056,,0.5459,11.0,1.3884265877410504,0.3005485295127404,0.976369307839925,1.372554401613827,1.8483880452245138,0.99928125
US68062P1066,OLMA,Olema Pharmaceuticals Inc.,United States and Canada,United States and Canada,US,USD,NasdaqGS,Health Care,Biotechnology,Small Cap,Core,1052.54,0.44,551.15,12.05,40.7,27.928277618765943,26.685205212775625,29.212128530614688,1.31769938744946,3.1537167615191253,1.0,2.3775933609958506,-0.518,-0.539,,0.0944,10.0,1.3425424230560408,0.4568342922131527,0.8453490727078844,1.3144597502938575,1.8920020656067826,0.999
SG9999014716,WVE,Wave Life Sciences Ltd.,United States and Canada,Asia / Pacific,SG,USD,NasdaqGM,Health Care,Pharmaceuticals,Small Cap,Growth,1201.99,0.42,754.98,6.1,19.0625,14.104306849171154,13.580211645717133,14.646822091835748,1.3121814506838043,3.1428652532458394,1.0,2.125,-0.6412,0.0269,-0.6831,0.0997,16.0,1.3374011283073282,0.7191622898019684,0.8476521457338027,1.311599311497264,1.869971266462715,0.99934375
AU000000EOS8,EOS,Electro Optic Systems Holdings Limited,Asia / Pacific,Asia / Pacific,AU,AUD,ASX,Industrials,Aerospace and Defense,Small Cap,Core,1213.3,0.16,1145.5,7.74,13.6375,17.726313473973867,16.984233786151805,18.473991042416603,1.290221379066392,3.0974317586291997,1.0,0.7619509043927648,-0.1801,0.8651,3.3,0.9042,4.0,1.3130822447662005,0.3769073652885486,0.8236958654057958,1.2882036421367746,1.8638407146802924,0.99928125
US67576A1007,OCUL,Ocular Therapeutix Inc.,United States and Canada,United States and Canada,US,USD,NasdaqGM,Health Care,Pharmaceuticals,Small Cap,Core,2018.27,0.35,1499.01,9.19,27.0909,20.647564256666772,19.854381602385843,21.4525427892256,1.2467425741748461,3.0068002907427505,1.0,1.947867247007617,-0.243,-0.1273,0.4204,0.2819,11.0,1.2633229323331034,0.30641467150021245,0.8896038814842961,1.2464382725273653,1.6617459486692334,0.9995
