Ticker,Name,Price,1D Chg,1D %,1Y Chg,1Y %,Z-Score,1W %,1W Chg,1M Chg,1M %,3M Chg,3M %,6M Chg,6M %,MTD Chg,MTD %,QTD Chg,QTD %,YTD Chg,YTD %,3Y Chg,3Y %,5Y Chg,5Y %,10Y Chg,10Y %,52W Low,52W High
GR10Y,Greece Government Bond 10Y,3.832,1.4,0.0037,45.3,0.1341,0.30,-0.0155,-6.0,29.9,0.0845,-1.1,-0.0029,47.2,0.1405,30.5,0.0865,30.5,0.0865,35.3,0.1015,2.0,0.0052,321.1,5.1707,-423.9,-0.5252,3.202,4.069
HK10Y,Hong Kong Government Bond 10Y,3.499,-0.6,-0.0017,41.1,0.1331,-0.15,-0.0011,-0.4,18.2,0.0548,52.1,0.1749,29.8,0.0931,20.6,0.0626,20.6,0.0626,40.0,0.1291,-39.8,-0.1021,256.9,2.7624,255.2,2.6948,2.761,3.557
HU10Y,Hungary Government Bond 10Y,5.451,-5.8,-0.0105,-164.9,-0.2323,-0.82,-0.0006,-0.4,34.5,0.0677,-68.9,-0.1122,-113.9,-0.1728,36.6,0.0719,36.6,0.0719,-141.9,-0.2066,-191.9,-0.2604,253.1,0.8668,261.1,0.9194,5.054,7.550
IS10Y,Iceland Government Bond 10y,7.049,0.0,0.0000,-0.6,-0.0009,0.00,0.0121,8.4,19.0,0.0277,5.7,0.0082,55.8,0.0860,16.7,0.0243,16.7,0.0243,57.7,0.0892,27.2,0.0401,355.8,1.0192,104.1,0.1733,6.232,103.671
IN10Y,India Government Bond 10Y,6.766,-0.2,-0.0003,40.5,0.0637,-0.06,-0.0022,-1.5,-0.2,-0.0003,-21.5,-0.0308,6.9,0.0103,6.7,0.0100,6.7,0.0100,19.4,0.0295,-39.5,-0.0552,57.8,0.0934,-41.9,-0.0583,6.313,7.142
ID10Y,Indonesia Government Bond 10Y,7.374,0.0,0.0000,83.6,0.1279,0.00,0.0106,7.7,19.2,0.0267,59.5,0.0878,100.7,0.1582,20.7,0.0289,20.7,0.0289,125.5,0.2051,110.0,0.1753,106.5,0.1688,40.6,0.0583,5.924,7.532
IE10Y,Ireland Government Bond 10Y,3.295,-1.1,-0.0033,36.5,0.1246,-0.26,-0.0120,-4.0,26.7,0.0882,-2.8,-0.0084,32.2,0.1084,25.2,0.0827,25.2,0.0827,26.7,0.0882,39.8,0.1374,332.0,,284.2,6.2737,2.760,3.410
IL10Y,Israel Government Bond 10Y,3.880,-2.3,-0.0059,-38.5,-0.0903,-0.63,0.0008,0.3,21.9,0.0598,-12.4,-0.0310,7.2,0.0189,18.8,0.0509,18.8,0.0509,-3.4,-0.0087,3.1,0.0081,286.7,2.8302,222.2,1.3402,3.592,4.307
IT10Y,Italy Government Bond 10Y,3.946,0.8,0.0020,41.4,0.1172,0.14,-0.0132,-5.3,36.0,0.1004,5.4,0.0140,47.6,0.1371,35.0,0.0973,35.0,0.0973,43.4,0.1236,-17.3,-0.0420,332.6,5.3676,274.4,2.2829,3.276,4.142
JP10Y,Japan Government Bond 10Y,2.781,1.0,0.0036,121.2,0.7724,0.25,0.0192,5.2,17.9,0.0686,31.6,0.1283,53.9,0.2403,9.5,0.0352,9.5,0.0352,70.8,0.3415,222.5,4.0018,276.7,197.6429,305.2,,1.469,2.902
KE10Y,Kenya Government Bond 10y,12.490,0.0,0.0000,-104.0,-0.0769,0.00,0.0000,0.0,17.0,0.0138,97.0,0.0842,-33.0,-0.0257,17.0,0.0138,17.0,0.0138,-15.0,-0.0119,-294.0,-0.1905,9.0,0.0073,-231.0,-0.1561,11.135,13.530
LV10Y,Latvia Government Bond 10y,0.549,0.0,0.0000,0.0,0.0000,,0.0000,0.0,0.0,0.0000,0.0,0.0000,0.0,0.0000,0.0,0.0000,0.0,0.0000,0.0,0.0000,0.0,0.0000,0.0,0.0000,0.0,0.0000,,
LT10Y,Lithuania Government Bond 10y,3.812,-1.0,-0.0026,61.8,0.1935,-0.25,-0.0083,-3.2,20.4,0.0565,0.8,0.0021,20.7,0.0574,20.2,0.0560,20.2,0.0560,12.5,0.0339,-56.5,-0.1291,370.3,33.9725,316.2,4.8646,3.189,3.963
MY10Y,Malaysia Government Bond 10Y,3.705,0.3,0.0008,33.0,0.0978,0.20,0.0123,4.5,9.7,0.0269,15.9,0.0448,21.7,0.0622,8.7,0.0240,8.7,0.0240,21.0,0.0601,-17.6,-0.0453,54.0,0.1706,10.0,0.0277,3.360,100.917
MX10Y,Mexico Government Bond 10Y,9.269,-0.4,-0.0004,-17.5,-0.0185,-0.05,0.0127,11.6,35.4,0.0397,19.0,0.0209,31.9,0.0356,24.0,0.0266,24.0,0.0266,31.9,0.0356,38.9,0.0438,234.9,0.3395,333.9,0.5631,8.490,9.480
NL10Y,Netherlands Government Bond 10Y,3.219,-1.2,-0.0037,35.7,0.1247,-0.31,-0.0138,-4.5,25.2,0.0849,8.5,0.0273,29.6,0.1013,24.1,0.0809,24.1,0.0809,25.3,0.0853,40.0,0.1419,352.2,,319.0,110.0000,2.682,3.331
NZ10Y,New Zealand Government Bond 10Y,4.728,0.8,0.0017,13.4,0.0291,0.17,0.0071,3.4,35.7,0.0816,-2.1,-0.0043,8.8,0.0190,35.6,0.0815,35.6,0.0815,32.1,0.0729,-2.6,-0.0055,319.8,2.0902,248.3,1.1060,3.966,4.891
NG10Y,Nigeria Government Bond 10y,17.796,-3.0,-0.0017,184.1,0.1154,-0.08,-0.0060,-10.8,24.6,0.0140,284.3,0.1901,92.0,0.0545,24.7,0.0141,24.7,0.0141,98.5,0.0586,480.3,0.3697,527.8,0.4216,218.5,0.1400,14.851,18.545
NO10Y,Norway Government Bond 10Y,4.396,-2.6,-0.0059,39.1,0.0976,-0.78,-0.0141,-6.3,13.2,0.0309,-0.2,-0.0005,20.2,0.0482,15.1,0.0356,15.1,0.0356,20.7,0.0494,57.5,0.1505,321.4,2.7191,341.4,3.4766,3.833,4.629
PK10Y,Pakistan Government Bond 10Y,11.873,-18.4,-0.0153,-3.0,-0.0025,-1.80,-0.0066,-7.9,-21.8,-0.0180,-98.1,-0.0763,86.3,0.0784,-20.6,-0.0171,-20.6,-0.0171,46.8,0.0410,-413.6,-0.2584,201.8,0.2048,384.6,0.4791,10.844,13.258
PH10Y,Philippines Government Bond 10y,7.580,0.0,0.0000,138.4,0.2234,0.00,0.0213,15.8,63.0,0.0906,77.0,0.1131,159.6,0.2667,64.1,0.0924,64.1,0.0924,154.6,0.2562,112.7,0.1746,376.1,0.9848,437.7,1.3665,5.768,7.871
PL10Y,Poland Government Bond 10Y,5.648,1.5,0.0027,29.3,0.0547,0.21,-0.0037,-2.1,36.2,0.0685,-6.9,-0.0121,55.3,0.1085,35.1,0.0663,35.1,0.0663,49.5,0.0961,15.4,0.0280,396.9,2.3639,273.8,0.9409,4.876,6.089
PT10Y,Portugal Government Bond 10Y,3.479,-1.9,-0.0054,36.7,0.1179,-0.42,-0.0138,-4.9,22.6,0.0694,-0.5,-0.0014,26.6,0.0828,22.5,0.0691,22.5,0.0691,32.0,0.1013,27.7,0.0865,328.5,16.9330,51.2,0.1726,2.925,3.634
QA10Y,Qatar Government Bond 10y,4.030,-5.0,-0.0123,0.0,0.0000,,0.0000,0.0,0.0,0.0000,0.0,0.0000,0.0,0.0000,0.0,0.0000,0.0,0.0000,0.0,0.0000,0.0,0.0000,199.1,0.9765,106.3,0.3583,,
RO10Y,Romania 10Y Bond Yield,6.840,-1.0,-0.0015,-41.0,-0.0566,-0.11,-0.0058,-4.0,-1.0,-0.0015,-47.0,-0.0643,13.0,0.0194,7.0,0.0103,7.0,0.0103,3.0,0.0044,22.0,0.0332,308.0,0.8191,360.9,1.1170,6.300,7.770
RU10Y,Russia Government Bond 10Y,15.890,5.0,0.0032,181.0,0.1286,0.46,-0.0299,-49.0,-39.0,-0.0240,130.0,0.0891,123.0,0.0839,-49.0,-0.0299,-49.0,-0.0299,145.0,0.1004,443.0,0.3866,894.0,1.2863,732.0,0.8541,13.300,16.820
SG10Y,Singapore Government Bond 10Y,2.404,-1.6,-0.0066,32.0,0.1536,-0.37,0.0758,16.9,39.1,0.1945,26.5,0.1239,36.3,0.1779,36.6,0.1796,36.6,0.1796,18.1,0.0814,-64.9,-0.2126,106.0,0.7887,64.0,0.3628,1.720,2.504
SK10Y,Slovakia 10Y Bond Yield,3.802,-4.5,-0.0117,31.9,0.0916,-0.95,-0.0150,-5.8,23.4,0.0656,3.4,0.0090,38.2,0.1117,22.7,0.0635,22.7,0.0635,27.2,0.0771,17.0,0.0468,404.2,,343.9,9.4738,3.116,3.952
SI10Y,Slovenia Government Bond 10y,3.454,-1.4,-0.0040,38.0,0.1236,-0.30,-0.0148,-5.2,22.3,0.0690,-5.1,-0.0146,45.0,0.1498,22.0,0.0680,22.0,0.0680,30.7,0.0976,13.1,0.0394,348.0,,256.8,2.8984,2.885,3.662
ZA10Y,South Africa Government Bond 10Y,8.675,-5.5,-0.0063,-112.5,-0.1148,-0.58,-0.0017,-1.5,33.5,0.0402,-8.5,-0.0097,61.5,0.0763,23.0,0.0272,23.0,0.0272,46.5,0.0566,-151.0,-0.1483,-25.0,-0.0280,-7.0,-0.0080,7.725,9.860
KR10Y,South Korea Government Bond 10Y,4.298,-4.4,-0.0101,143.7,0.5023,-0.80,-0.0076,-3.3,18.4,0.0447,43.9,0.1138,77.6,0.2203,19.8,0.0483,19.8,0.0483,91.3,0.2697,57.1,0.1532,243.5,1.3070,293.9,2.1626,2.701,4.572
ES10Y,Spain Government Bond 10Y,3.579,-1.5,-0.0042,30.2,0.0922,-0.34,-0.0144,-5.2,23.6,0.0706,4.5,0.0127,36.0,0.1118,23.1,0.0690,23.1,0.0690,28.7,0.0872,6.6,0.0188,330.2,11.9206,248.9,2.2835,3.064,3.701
SE10Y,Sweden Government Bond 10Y,2.938,-2.7,-0.0091,52.1,0.2156,-0.67,-0.0157,-4.7,27.8,0.1045,13.4,0.0478,15.0,0.0538,26.5,0.0991,26.5,0.0991,18.7,0.0680,42.2,0.1677,282.8,25.7091,282.4,24.7719,2.350,3.033
CH10Y,Switzerland Government Bond 10Y,0.410,-1.5,-0.0353,2.5,0.0649,-0.39,-0.0873,-3.9,16.7,0.6900,-2.1,-0.0487,15.4,0.6016,13.9,0.5129,13.9,0.5129,12.8,0.4539,-59.6,-0.5924,76.8,,96.7,,0.108,0.598
TW10Y,Taiwan Government Bond 10y,1.880,0.0,0.0000,49.5,0.3574,0.00,0.1059,18.0,19.0,0.1124,37.5,0.2492,46.2,0.3258,21.0,0.1257,21.0,0.1257,48.0,0.3429,70.5,0.6000,146.0,3.4762,120.2,1.7729,1.225,1.880
TH10Y,Thailand Government Bond 10Y,2.045,-4.8,-0.0229,57.0,0.3864,-0.88,0.0099,2.0,2.3,0.0114,-10.7,-0.0497,17.5,0.0936,0.3,0.0015,0.3,0.0015,38.0,0.2282,-52.5,-0.2043,44.0,0.2741,-4.5,-0.0215,1.230,2.414
TR10Y,Turkey 10Y Bond Yield,35.085,243.5,0.0746,342.0,0.1080,3.95,0.0879,283.5,425.5,0.1380,362.5,0.1152,761.5,0.2772,428.5,0.1391,428.5,0.1391,792.5,0.2918,1636.5,0.8742,1807.5,1.0626,2556.5,2.6854,26.930,35.720
GB10Y,United Kingdom Government Bond 10Y,4.970,-2.7,-0.0053,31.4,0.0676,-0.47,-0.0136,-6.8,23.8,0.0503,-3.9,-0.0078,41.7,0.0916,21.0,0.0441,21.0,0.0441,49.1,0.1097,64.5,0.1491,439.4,7.6280,425.6,5.9604,4.229,5.199
US10Y,United States Government Bond 10Y,4.633,-1.9,-0.0041,21.6,0.0489,-0.42,0.0009,0.4,26.2,0.0599,28.0,0.0643,38.7,0.0911,16.4,0.0367,16.4,0.0367,46.1,0.1105,66.4,0.1673,337.0,2.6683,312.2,2.0662,3.923,4.717
VE10Y,Venezuela Government Bond 10y,10.429,0.0,0.0000,0.0,0.0000,,0.0000,0.0,0.0,0.0000,0.0,0.0000,0.0,0.0000,0.0,0.0000,0.0,0.0000,0.0,0.0000,0.0,0.0000,0.0,0.0000,-61.3,-0.0555,,
VN10Y,Vietnam Government Bond 10y,4.530,-0.5,-0.0012,110.2,0.3215,-0.32,-0.0007,-0.3,0.9,0.0020,16.4,0.0376,35.4,0.0848,0.7,0.0016,0.7,0.0016,34.4,0.0822,197.9,0.7758,237.8,1.1050,-239.0,-0.3454,3.428,4.540
20 Year
AU20Y,Australia 20Y Bond Yield,5.406,-2.8,-0.0052,44.5,0.0897,-0.69,0.0011,0.6,21.4,0.0412,-0.2,-0.0004,14.4,0.0274,21.3,0.0410,21.3,0.0410,21.8,0.0420,104.4,0.2393,356.7,1.9396,299.0,1.2376,4.689,5.546
CA20Y,Canada 20Y Bond Yield,3.814,-5.3,-0.0137,3.4,0.0090,-1.38,-0.0104,-4.0,14.6,0.0398,2.0,0.0053,6.8,0.0182,15.9,0.0435,15.9,0.0435,6.1,0.0163,33.4,0.0960,223.6,1.4170,214.4,1.2838,3.407,3.970
CN20Y,China 20Y Bond Yield,2.185,1.0,0.0046,18.7,0.0936,0.34,-0.0285,-6.4,-3.0,-0.0135,-8.2,-0.0362,-20.0,-0.0839,-4.0,-0.0180,-4.0,-0.0180,-25.0,-0.1027,-89.3,-0.2901,-138.0,-0.3871,-108.0,-0.3308,1.953,2.490
FR20Y,France 20Y Bond Yield,4.429,-0.6,-0.0014,52.4,0.1342,-0.14,-0.0110,-4.9,26.4,0.0634,15.2,0.0356,37.2,0.0916,23.5,0.0561,23.5,0.0561,26.6,0.0639,104.3,0.3080,405.7,10.8899,373.2,5.3553,3.809,4.525
GR20Y,Greece 20Y Bond Yield,4.144,-0.6,-0.0014,31.2,0.0814,-0.13,-0.0178,-7.5,23.7,0.0606,-6.5,-0.0154,31.8,0.0831,25.8,0.0665,25.8,0.0665,27.0,0.0697,3.1,0.0075,331.6,4.0048,-364.7,-0.4681,3.612,4.423
ID20Y,Indonesia 20Y Bond Yield,7.296,-2.5,-0.0034,38.9,0.0563,-0.35,-0.0034,-2.5,5.5,0.0076,61.4,0.0919,69.1,0.1046,8.5,0.0118,8.5,0.0118,76.5,0.1171,82.0,0.1266,20.3,0.0286,-13.5,-0.0182,6.461,7.501
IT20Y,Italy 20Y Bond Yield,4.510,1.1,0.0024,40.9,0.0997,0.22,-0.0116,-5.3,25.8,0.0607,1.9,0.0043,36.8,0.0888,26.8,0.0632,26.8,0.0632,40.0,0.0972,2.9,0.0065,317.2,2.3707,273.2,1.5361,3.936,4.648
JP20Y,Japan 20Y Bond Yield,3.669,1.8,0.0049,115.6,0.4599,0.37,0.0165,5.9,15.2,0.0431,35.9,0.1086,49.2,0.1548,1.0,0.0027,1.0,0.0027,68.1,0.2279,253.4,2.2326,327.0,8.1955,351.4,22.6710,2.488,3.896
PT20Y,Portugal 20Y Bond Yield,4.000,0.3,0.0008,28.4,0.0764,0.07,-0.0119,-4.8,21.3,0.0564,2.0,0.0050,27.2,0.0730,21.0,0.0553,21.0,0.0553,25.3,0.0675,42.5,0.1189,346.0,6.4074,40.5,0.1127,3.543,4.082
RU20Y,Russia 20Y Bond Yield,16.090,6.0,0.0037,203.0,0.1444,0.48,-0.0266,-44.0,-56.0,-0.0336,146.0,0.0998,201.0,0.1428,-69.0,-0.0411,-69.0,-0.0411,218.0,0.1567,474.0,0.4176,901.0,1.2726,737.0,0.8452,13.170,17.010
ZA20Y,South Africa 20Y Bond Yield,9.250,-6.5,-0.0070,-181.0,-0.1637,-0.68,0.0016,1.5,36.0,0.0405,-14.0,-0.0149,25.0,0.0278,27.0,0.0301,27.0,0.0301,6.0,0.0065,-284.0,-0.2349,-141.0,-0.1323,-4.5,-0.0048,8.410,11.115
KR20Y,South Korea 20Y Bond Yield,4.541,-2.7,-0.0059,171.2,0.6052,-0.51,-0.0013,-0.6,24.6,0.0573,74.1,0.1950,100.3,0.2835,28.6,0.0672,28.6,0.0672,119.4,0.3567,83.1,0.2240,259.1,1.3287,310.7,2.1667,2.757,4.659
GB20Y,United Kingdom 20Y Bond Yield,5.599,-0.5,-0.0009,25.3,0.0473,-0.09,-0.0127,-7.2,22.3,0.0415,-3.2,-0.0057,40.8,0.0786,20.0,0.0370,20.0,0.0370,48.6,0.0951,108.2,0.2395,461.3,4.6785,416.4,2.9017,4.913,5.813
US20Y,United States 20Y Bond Yield,5.138,-2.0,-0.0039,17.7,0.0357,-0.49,-0.0012,-0.6,27.2,0.0559,20.9,0.0424,32.0,0.0664,22.8,0.0464,22.8,0.0464,34.9,0.0729,90.8,0.2147,330.7,1.8061,301.2,1.4167,4.493,5.262
30 Year
AU30Y,Australia 30Y Bond Yield,5.483,-2.9,-0.0053,42.7,0.0845,-0.73,-0.0020,-1.1,20.9,0.0396,4.1,0.0075,17.4,0.0328,20.8,0.0394,20.8,0.0394,25.4,0.0486,107.6,0.2442,346.0,1.7103,,,4.794,5.576
CA30Y,Canada 30Y Bond Yield,3.934,-5.3,-0.0133,9.0,0.0234,-1.42,-0.0118,-4.7,13.9,0.0366,1.4,0.0036,7.0,0.0181,15.3,0.0405,15.3,0.0405,7.1,0.0184,59.8,0.1793,220.4,1.2740,225.0,1.3361,3.508,4.086
CN30Y,China 30Y Bond Yield,2.187,1.1,0.0051,23.8,0.1221,0.45,-0.0353,-8.0,-7.3,-0.0323,-5.9,-0.0263,-6.4,-0.0284,-4.0,-0.0180,-4.0,-0.0180,-12.6,-0.0545,-83.1,-0.2753,-132.3,-0.3769,-121.6,-0.3573,1.901,2.446
FR30Y,France 30Y Bond Yield,4.678,-0.7,-0.0015,52.2,0.1256,-0.17,-0.0113,-5.3,25.4,0.0575,11.6,0.0255,32.3,0.0743,21.7,0.0486,21.7,0.0486,22.2,0.0497,121.8,0.3520,392.2,5.1878,380.5,4.3585,4.059,4.765
DE30Y,Germany 30Y Bond Yield,3.616,-0.5,-0.0014,41.3,0.1289,-0.15,-0.0137,-5.0,20.6,0.0603,3.9,0.0110,12.8,0.0367,19.0,0.0553,19.0,0.0553,13.6,0.0391,105.5,0.4119,357.2,81.1818,324.2,8.6684,3.107,3.716
IN30Y,India 30Y Bond Yield,7.420,0.6,0.0008,39.3,0.0559,0.18,0.0003,0.2,7.3,0.0099,-14.0,-0.0185,3.0,0.0041,11.6,0.0159,11.6,0.0159,15.5,0.0213,5.7,0.0077,31.4,0.0442,2.4,0.0032,6.995,7.852
ID30Y,Indonesia 30Y Bond Yield,7.380,0.0,0.0000,41.5,0.0596,0.00,-0.0001,-0.1,21.4,0.0299,56.6,0.0831,64.5,0.0958,1.3,0.0018,1.3,0.0018,67.1,0.1000,66.7,0.0994,25.3,0.0355,-30.0,-0.0391,6.677,7.452
IT30Y,Italy 30Y Bond Yield,4.708,-0.6,-0.0013,29.0,0.0656,-0.13,-0.0128,-6.1,25.1,0.0563,2.4,0.0050,36.8,0.0848,25.2,0.0565,25.2,0.0565,29.8,0.0677,15.1,0.0331,307.3,1.8795,254.4,1.1754,4.189,4.803
JP30Y,Japan 30Y Bond Yield,3.985,1.9,0.0048,96.1,0.3177,0.35,0.0243,9.4,18.4,0.0483,34.1,0.0937,34.3,0.0941,3.6,0.0091,3.6,0.0091,57.7,0.1693,259.5,1.8669,334.2,5.1975,372.4,14.2682,3.012,4.196
PT30Y,Portugal 30Y Bond Yield,4.115,-0.1,-0.0002,17.2,0.0436,-0.03,-0.0130,-5.4,20.1,0.0513,0.1,0.0002,17.2,0.0436,19.4,0.0494,19.4,0.0494,10.3,0.0257,49.3,0.1361,296.6,2.5814,31.8,0.0838,3.763,4.212
ZA30Y,South Africa 30Y Bond Yield,9.135,-6.5,-0.0071,-183.5,-0.1673,-0.68,0.0016,1.5,35.5,0.0404,-12.5,-0.0135,29.5,0.0334,26.5,0.0299,26.5,0.0299,16.0,0.0178,-294.0,-0.2435,-151.0,-0.1419,-32.5,-0.0344,8.295,11.030
KR30Y,South Korea 30Y Bond Yield,4.552,-2.0,-0.0044,181.1,0.6607,-0.37,-0.0004,-0.2,23.1,0.0535,83.7,0.2253,110.9,0.3221,20.2,0.0464,20.2,0.0464,130.1,0.4002,85.2,0.2303,260.8,1.3416,309.6,2.1264,2.650,4.674
GB30Y,United Kingdom 30Y Bond Yield,5.672,-1.2,-0.0021,21.5,0.0394,-0.22,-0.0131,-7.5,21.8,0.0399,-2.3,-0.0040,37.4,0.0706,18.7,0.0341,18.7,0.0341,46.5,0.0893,119.2,0.2661,467.6,4.6948,407.0,2.5406,5.013,5.868
US30Y,United States 30Y Bond Yield,5.121,-1.7,-0.0033,15.9,0.0320,-0.43,-0.0023,-1.2,25.5,0.0524,18.2,0.0368,27.1,0.0559,15.6,0.0314,15.6,0.0314,27.5,0.0567,109.1,0.2707,321.0,1.6797,289.2,1.2974,4.521,5.204
