,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
exchange_effect[LJSE],-0.1621,0.2009,-0.4856,0.1537,4381.5494,3120.9365,1.0024,0.003,0.0021
exchange_effect[SEP],-0.1766,0.1958,-0.4891,0.131,4873.0409,2922.2408,1.0023,0.0028,0.0021
exchange_effect[KLSE],-0.0334,0.2025,-0.3545,0.2925,5129.4161,2933.5923,1.0023,0.0028,0.002
exchange_effect[BUL],-0.1784,0.2181,-0.5308,0.1681,4933.5137,3220.3568,1.0022,0.0031,0.0022
industry_effect[Technology Hardware Storage and Peripherals],0.2318,0.0366,0.174,0.2905,5095.4095,2812.3749,1.0022,0.0005,0.0004
industry_effect[Semiconductors and Semiconductor Equipment],-0.1102,0.0215,-0.1439,-0.0759,5106.7259,3375.8389,1.0022,0.0003,0.0002
exchange_effect[SHSE],-0.0288,0.1474,-0.2625,0.2062,2662.7346,2419.0797,1.0022,0.0029,0.002
exchange_effect[SZSE],-0.0629,0.1473,-0.299,0.1751,2616.067,2598.4033,1.0022,0.0029,0.002
exchange_effect[XSAT],0.1738,0.2229,-0.177,0.528,5257.1545,2618.1444,1.0022,0.0031,0.0022
exchange_effect[ATSE],-0.0952,0.1252,-0.2962,0.1039,5037.917,3319.7446,1.0021,0.0018,0.0013
exchange_effect[HOSE],-0.11,0.1962,-0.4236,0.1983,6455.3093,3123.5859,1.0021,0.0024,0.0018
country_effect[PH],0.0231,0.2063,-0.3094,0.3576,6227.8945,3066.3859,1.0021,0.0026,0.0019
exchange_effect[SWX],0.0951,0.1817,-0.1919,0.3917,4578.0981,2882.8401,1.0021,0.0027,0.0019
