isin,ticker,name,sector,industry,trading_region,country,style_class,size_class,n_analysts,market_cap,mcap_global_r,mcap_country_r,last_price,observed_pt,expected_upside,expected_upside_sd,prob_pos,implied_upside,expected_pt,expected_pt_hdi_lo,expected_pt_hdi_hi,shrink_gain,risk_adj_return,kalman_gain,er_mean,er_sd,er_p05,er_p50,er_p95,mc_prob_pos,p_upside_pos_cond,p_upside_pos,band_width,cvar05,exp_vol,ret_vol_ratio,expected_sharpe,tail_risk,starr,book_weight,weight,run_id,exported_at
US1912161007,KO,The Coca-Cola Company,Consumer Staples,Beverages,United States and Canada,US,Value,Large Cap,23.0,386076.35,0.0,0.01,89.732,94.6957,0.06187066285743351,0.015343323705398608,1.0,0.055316943788169315,95.28377831952322,92.70092107506386,97.8963187493795,0.906281994775473,-0.29186837688561507,0.07425,0.06518395319404846,0.07877988269740013,-0.058308258392103,0.06224776813488096,0.19813405260913466,0.80765625,0.9489375,1.0,0.05452552119515531,0.015351093814186773,0.20682342574656568,0.29914726842039496,0.8274187643110015,0.058308258392103,1.0610960533476161,0.0,0.03459083976914063,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
GB00BVZK7T90,ULVR,Unilever PLC,Consumer Staples,Personal Care Products,Europe,GB,Core,Large Cap,15.0,133404.71,0.0,0.0,45.78,52.486,0.14069211734996045,0.030119045252833026,1.0,0.14648318042813457,52.22088513228119,49.68537893651316,54.87768936459138,0.8236549114940559,0.003956833338387225,0.441875,0.14562467308564198,0.11621906336426265,-0.03538956436888973,0.14052942851399838,0.34403031946819507,0.90703125,0.95803125,1.0,0.09942976674802687,0.0047362057839083985,0.78570741849769,0.17906425984747668,1.2530188152456023,0.13595591156605205,1.0348363357602688,0.0,0.03373479504012566,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
US01609W1027,BABA,Alibaba Group Holding Limited,Consumer Discretionary,Broadline Retail,United States and Canada,CN,Core,Large Cap,39.0,291694.72,0.0,0.01,127.874,189.5098,0.4674518911541876,0.030119131862183804,1.0,0.48200416034534,187.64894312945057,180.55672311960825,194.90389755476366,0.9436619885301172,1.068349004823213,1.0,0.48152651946574676,0.20328335725715907,0.17939423531332563,0.46672982296986476,0.8349186602210996,0.9948125,0.9963125,1.0,0.07645752859507414,0.00782776524194855,0.11928071878818083,3.9189224872486768,2.368745410164603,0.45962412591223906,1.0170307971245252,0.0,0.03315434944143632,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
US64110L1061,NFLX,Netflix Inc.,Communication Services,Entertainment,United States and Canada,US,Growth,Large Cap,45.0,336088.23,0.0,0.01,80.714,93.4156,0.17369630325905208,0.027947957146778314,1.0,0.15736551279827538,94.73372342125114,90.50536683377933,99.02257673060356,0.914059139731846,-0.03991499696075854,0.34475,0.18317049589573461,0.15050244055594106,-0.04732429235073536,0.17439835770135065,0.4446401441606558,0.903125,0.93434375,1.0,0.08990684192735535,0.0015596418875422468,0.2574660325226234,0.674637743694557,1.217059970716229,0.17213666137150985,1.0090604864478938,0.0,0.03289452401031175,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
US80004C2008,SNDK,Sandisk Corporation,Information Technology,Technology Hardware Storage and Peripherals,United States and Canada,US,Growth,Large Cap,23.0,232406.19,0.0,0.01,1587.268,2107.6957,0.31868815142556634,0.07819251680963069,1.0,0.3278763888643885,2093.111504736956,1864.7220577236146,2339.8366350120523,0.9495797702595848,0.09500679669684763,0.645,0.4353538097560762,0.6215549510505272,-0.3200412097164456,0.31925085787724944,1.5668664210528462,0.774125,0.7079375,1.0,0.22698961627853934,0.03687032297612596,0.1552158612856856,2.0531932032319724,0.7004269035589833,0.3200412097164456,0.995772237293822,0.0,0.032461338253140404,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
JP3788600009,6501,Hitachi Ltd.,Industrials,Industrial Conglomerates,Asia / Pacific,JP,Core,Large Cap,13.0,146769.22,0.0,0.0,5225.0,6261.5385,0.1926058326578956,0.031615690474674635,1.0,0.1983805741626794,6231.3654756375045,5932.9062516392405,6548.554610926929,0.8903712084375595,0.10725103512098721,0.705,0.20075886883143135,0.14912956206185743,-0.025257908846463166,0.19031154244601367,0.46007690564577997,0.92659375,0.95221875,1.0,0.09879830699943082,-0.0013965116386760407,0.13606234433919293,1.4155704401046048,1.3462043746105725,0.19400234429657165,0.9928015733843856,0.0,0.03236449710574842,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
US90353T1007,UBER,Uber Technologies Inc.,Industrials,Ground Transportation,United States and Canada,US,Core,Large Cap,47.0,158061.47,0.0,0.02,77.384,101.5013,0.30984125827952747,0.028955718923082373,1.0,0.31165744856817956,101.36075593070296,97.18727748568054,105.65244766053229,0.9297064090482916,0.5074964662199523,0.999875,0.3197590719379891,0.1684921735850193,0.06226747276057179,0.30968950451553234,0.610002069204614,0.9801875,0.98665625,1.0,0.08351526285616012,-0.007170968956402862,0.23938957208325165,1.2942972226533538,1.897768098864498,0.3170122272359303,0.9773795193361233,0.0,0.031861751101923914,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
JP3890350006,8316,Sumitomo Mitsui Financial Group Inc.,Financials,Banks,Asia / Pacific,JP,Core,Large Cap,12.0,155903.79,0.0,0.0,6568.0,7250.8333,0.10713546706627254,0.04760456604189735,0.98975,0.10396365712545674,7271.665747691278,6697.606425801126,7884.783089487773,0.724730151387306,-0.22257234629364062,0.104375,0.11731784277916801,0.14902041482802653,-0.1097021783429996,0.1084009111652913,0.3789478490974529,0.7948125,0.86715625,0.98975,0.16326062072690445,0.07647825958145071,0.20079911647977525,0.5335455102814826,0.7872602080363008,0.1097021783429996,0.9766029142219778,0.0,0.03183643442773353,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
CH0210483332,CFR,Compagnie Financière Richemont SA,Consumer Discretionary,Textiles Apparel and Luxury Goods,Europe,CH,Core,Large Cap,26.0,135436.65,0.0,0.02,187.05,211.5064,0.12863834835237417,0.023035205555371585,1.0,0.1307479283614006,211.1118030593116,202.98690538610956,219.25110928692857,0.9082750835005913,-0.19001677681759246,0.14,0.134535729488615,0.1224280143277729,-0.053442627768242955,0.12806546751531134,0.3452055659815375,0.880375,0.9120625,1.0,0.07704071333353922,-0.005777736517769116,0.15079250031869634,0.8530818713165449,1.0988966065268893,0.13441608487014328,0.957016033286858,0.0,0.031197918566830598,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
US17275R1023,CSCO,Cisco Systems Inc.,Information Technology,Communications Equipment,United States and Canada,US,Value,Large Cap,22.0,442012.19,0.0,0.0,112.145,136.0454,0.20394270757990304,0.024712700357145664,1.0,0.2131205136207588,135.01615494154822,129.7870973013847,140.17235823661912,0.9305489108862647,0.21690527654856834,0.969625,0.21465597479781667,0.14722950918534328,-0.010338489559609145,0.20550953092053847,0.4682668732586163,0.9414375,0.9704375,1.0,0.07691865421386386,-0.009571537886616554,0.231485945060693,0.8810155084207448,1.4579684194123885,0.2135142454665196,0.9551714319309087,0.0,0.031137786112525177,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
KYG875721634,700,Tencent Holdings Limited,Communication Services,Interactive Media and Services,Asia / Pacific,CN,Core,Large Cap,42.0,511825.18,0.0,0.0,447.2,665.4863,0.47707369495035035,0.03144400218267944,1.0,0.48811784436493744,660.5473563817967,634.535483987893,687.2209853043684,0.938880735947196,1.1854670593507277,1.0,0.49306161036570717,0.19999396326565852,0.18877361207628196,0.480391492822947,0.8432131938045958,0.99628125,0.998125,1.0,0.07976036965020125,-0.026503622506051427,0.4718233762837906,1.011127720520998,2.4653824661235264,0.5035773174564018,0.947369308371706,0.0,0.030883443440112086,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
US68389X1054,ORCL,Oracle Corporation,Information Technology,Software,United States and Canada,US,Core,Large Cap,41.0,409280.36,0.0,0.0,142.088,246.4263,0.7094726128835096,0.05904773591998117,1.0,0.7343216879680199,242.8955446193921,227.36069193153372,258.80205043570754,0.9338349267926211,1.5497716473992267,1.0,0.7461251119831405,0.3678754713759949,0.21451503286791282,0.7100441747815416,1.3927773738103135,0.99190625,0.98946875,1.0,0.12944394905818965,-0.04406084657123332,0.1682766899317578,4.2161074904149,2.0282002200156137,0.7535334594547429,0.9415276839821873,0.0,0.030693011393350768,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
GB0009895292,AZN,AstraZeneca PLC,Health Care,Pharmaceuticals,Europe,GB,Core,Large Cap,22.0,247806.24,0.0,0.0,118.06,156.4899,0.3119750519252584,0.03780872711224156,1.0,0.3255116042690158,154.89177463029603,146.572082081837,163.45863683455357,0.8984944169447815,0.6867438818832393,1.0,0.3253976954132514,0.1919909485055111,0.03839259344181623,0.3103087191447611,0.6615063407345925,0.969125,0.98565625,1.0,0.10902163651376773,-0.02452060096128157,0.2853884712363674,1.0931592666435048,1.6948595647149005,0.33649565288653993,0.9271295163817482,0.0,0.03022364322742012,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
CNE100003662,300750,Contemporary Amperex Technology Co. Limited,Industrials,Electrical Equipment,Asia / Pacific,CN,Core,Large Cap,24.0,270406.61,0.0,0.0,389.0,564.1679,0.42461917306175756,0.03436189958623916,1.0,0.45030308483290504,554.1768583210237,529.4550016431618,580.0355327219282,0.9168005875675612,1.086550119701369,1.0,0.435144794463121,0.18536242450734453,0.15456094452219662,0.42190854918930193,0.753603816723215,0.9944375,0.99740625,1.0,0.09127146021941265,-0.03847961763015238,0.18836696627662738,2.2542125164248845,2.3475350822565413,0.46309879069190996,0.9169084039872778,0.0,0.029890443551496268,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
US7475251036,QCOM,QUALCOMM Incorporated,Information Technology,Semiconductors and Semiconductor Equipment,United States and Canada,US,Value,Large Cap,30.0,173198.82,0.0,0.01,162.162,193.1,0.17706262854269558,0.0598190452797657,0.9995,0.1907845241178574,190.8748299697406,173.22267835192102,209.5680402208633,0.8842100940550228,-0.1155229805923206,0.308875,0.20546268238257842,0.2901253839079449,-0.20246722354977312,0.17367097817968838,0.7234933810678015,0.771,0.753375,0.9995,0.1904146391365699,0.0893322207382937,0.18901963489983695,0.9367419878708502,0.7081858181970404,0.20246722354977312,0.8745249005657835,0.0,0.028508776952056523,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
