index,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd,run_id,exported_at
alpha_time_free[step1],0.0600809974515135,0.00624343296797724,0.050029897584557274,0.06989924197852804,12046.990080918182,6862.551726624818,0.9999358129662311,5.6915260971631125e-05,4.0053643229702586e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
alpha_time_free[step2],-0.03395727199714336,0.0021556732584319654,-0.03739310920229417,-0.030510549188062952,18023.309898603962,6190.4445213161825,1.0001013102486047,1.6052596003056873e-05,1.076572935966427e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sigma_delta_vol_level,0.3316056967205176,0.007005079190705601,0.3205508904549103,0.3428573205533921,8228.804994108996,6348.714157350096,1.0004335175156043,7.721505386012411e-05,5.5020750128075444e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sigma_delta_log_mcap,-0.04212085732268283,0.0075799228599134445,-0.05420039069298103,-0.030041669236076617,2870.776522322399,4415.320436688198,1.001039920098252,0.00014145905333121382,9.749315776680168e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sigma_delta_range,0.051621763432867125,0.0064467208439327435,0.04130057261768086,0.061945136997926295,7554.783689573909,6213.129865247282,1.00001881724484,7.443533203743889e-05,5.33157645267607e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
trading_region_effect[Africa / Middle East],0.00380625869172003,0.015370390892366831,-0.020662238134005934,0.028603363345248985,12193.143985245313,6590.509541446357,1.0016290229841265,0.0001391351886529158,9.848472021789318e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
trading_region_effect[Asia / Pacific],-0.14933956301299767,0.009605165847722138,-0.1646744754645179,-0.13425496811209206,8654.629759682199,6998.806851819694,0.9999194117700773,0.0001033594587030946,7.220446685946401e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
trading_region_effect[Europe],-0.15602267746762155,0.008712690221972895,-0.16996017505434607,-0.14209261948340235,11616.745674449357,6539.191915531141,1.0002096444592046,8.080285666979447e-05,5.702709206682835e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
trading_region_effect[Latin America and Caribbean],0.2728855090323151,0.018075115234848223,0.2441043451954703,0.30178801244075987,8631.966110358015,6652.204712038298,1.0007257480855685,0.00019465281683465156,0.000131533699726787,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
trading_region_effect[United States and Canada],0.028670472756584076,0.00964898359809594,0.013045056804972137,0.044308870718623446,12039.193702198558,7273.136999159955,1.0001062635337477,8.78523246501798e-05,6.051749238618877e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sector_effect[Communication Services],-0.030377986433128033,0.01850783693098918,-0.06022801983913198,-0.0012854293050438494,17327.610206562465,6284.906619478835,1.0005947940819813,0.00014044508939027394,9.547849395584909e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sector_effect[Consumer Discretionary],0.004660863733460142,0.012214473028241914,-0.01503030205910848,0.024137211643132088,17820.16817893299,6618.345055214376,1.000992024517981,9.137965020336647e-05,6.448951189988759e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sector_effect[Consumer Staples],-0.05669393567539844,0.014169325938074469,-0.07944820785913256,-0.03383509736512245,18091.039169072184,6177.024470105437,1.0010431446975252,0.00010511455328646472,7.284157412616515e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sector_effect[Energy],0.08200925356461923,0.0193186470443492,0.0516139869466121,0.11320385557242783,17990.07176975272,6523.871128449498,0.9999662283442796,0.00014422858744762477,0.00010010686388363645,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sector_effect[Financials],-0.07653767985534193,0.011649487872804655,-0.09510595441682206,-0.05804457894482451,10820.871177661562,7321.310802721017,1.0006324445862746,0.00011202267210862081,7.860359593296557e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sector_effect[Health Care],0.095586346892053,0.01518542778431092,0.07156234158526022,0.11933971062937171,17035.562343541817,5794.249456512574,1.0012871087461555,0.00011631589044090101,8.541693511252318e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sector_effect[Industrials],0.013844872612144735,0.010291519994135124,-0.0027082747482422612,0.030186064079681548,14689.315015601955,7039.846582821255,1.0000457722975027,8.482155489136699e-05,5.852711573196647e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sector_effect[Information Technology],0.01626184571981256,0.015069433411619903,-0.007913087716124693,0.040176363183420966,16754.413061500745,6759.75568992032,1.0003257750043073,0.00011674344686973264,8.37392366908366e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sector_effect[Materials],0.06865305037195044,0.014634833690012387,0.045311518219473365,0.0921220614633755,17220.58579507151,6701.236388614535,1.0008763523446973,0.00011167908839007466,7.71903844318131e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sector_effect[Real Estate],-0.025074578893697023,0.02163167408916583,-0.05954170791003674,0.009726848405433891,16513.627437529423,5731.450061779291,1.0007278777591417,0.0001684258747725585,0.00011814659486180877,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
sector_effect[Utilities],-0.09233205203647468,0.01869631026709917,-0.12228718825862879,-0.0627555332106325,8979.258191468425,6442.558707794873,1.0001295837844904,0.0001971561535758521,0.00014229183726896158,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
